id path model viewthresh viewmode iter Egr Mgr Rep Swi Adh Act Inh Sec Da Di Ds Int Set Boy Dff Bgr Abi Pbi Lbi Bbi Rad Deg Dgr Ntr Bwi Ina uMgr faulty
35 exports_example/example_scan_1/screenshots/ToothMaker_7200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0261 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
36 exports_example/example_scan_1/screenshots/ToothMaker_9400_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0287 200.0 1.0 0.0 0.001 0.56 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
37 exports_example/example_scan_1/screenshots/ToothMaker_1700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0183 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
38 exports_example/example_scan_1/screenshots/ToothMaker_2900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0196 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
39 exports_example/example_scan_1/screenshots/ToothMaker_10700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.03 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
40 exports_example/example_scan_1/screenshots/ToothMaker_0800_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.017 200.0 1.0 0.0 0.001 0.92 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
41 exports_example/example_scan_1/screenshots/ToothMaker_3600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0209 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
42 exports_example/example_scan_1/screenshots/ToothMaker_5300_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 0.47 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
43 exports_example/example_scan_1/screenshots/ToothMaker_2200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0196 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
44 exports_example/example_scan_1/screenshots/ToothMaker_4700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0222 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
